R,G,B,Drought_AmbientTemp,Drought_ObjectTemp
30,113,73,26.71,25.37
32,108,69,26.71,25.41
32,107,67,26.71,25.37
33,103,62,26.71,25.41
29,104,60,26.71,25.37
27,105,59,26.71,25.41
28,102,59,26.71,25.37
30,102,58,26.71,25.41
24,101,54,26.71,25.37
19,101,60,26.71,25.41
21,100,59,26.71,25.37
21,100,56,26.71,25.41
92,129,82,26.71,25.37
97,127,84,26.71,25.41
97,131,84,26.71,25.37
94,133,85,26.71,25.41
96,132,85,26.71,25.37
96,132,86,26.71,25.41
92,132,89,26.71,25.37
92,129,85,26.71,25.41
91,127,80,26.71,25.37
89,128,79,26.71,25.41
85,125,76,26.71,25.37
80,120,74,26.71,25.41
78,118,77,26.71,25.37
73,116,70,26.71,25.41
68,115,64,26.71,25.37
66,113,70,26.71,25.41
62,112,74,26.71,25.37
55,113,73,26.71,25.41
56,111,71,26.71,25.37
58,111,73,26.71,25.41
59,109,69,26.71,25.37
58,110,69,26.71,25.41
56,107,71,26.71,25.37
51,108,71,26.71,25.41
49,112,67,26.71,25.37
50,112,65,26.71,25.41
52,110,64,26.71,25.37
52,109,69,26.71,25.41
50,109,68,26.71,25.37
48,110,64,26.71,25.41
47,109,68,26.71,25.37
45,108,68,26.71,25.41
45,108,64,26.71,25.37
44,107,63,26.71,25.41
45,104,64,26.71,25.37
42,105,67,26.71,25.41
39,107,64,26.71,25.37
43,107,67,26.71,25.41
47,106,68,26.71,25.37
47,106,67,26.71,25.41
50,107,68,26.71,25.37
53,108,64,26.71,25.41
55,107,66,26.71,25.37
54,107,68,26.71,25.41
53,107,66,26.71,25.37
50,109,72,26.71,25.41
54,105,66,26.71,25.37
53,108,72,26.71,25.41
51,108,71,26.71,25.37
53,107,69,26.71,25.41
54,106,68,26.71,25.37
50,106,67,26.71,25.41
45,108,61,26.71,25.37
48,107,58,26.71,25.41
47,106,61,26.71,25.37
44,107,59,26.71,25.41
44,105,63,26.71,25.37
45,103,67,26.71,25.41
44,104,67,26.71,25.37
43,104,62,26.71,25.41
42,105,61,26.71,25.37
45,102,62,26.71,25.41
46,102,58,26.71,25.37
44,103,58,26.71,25.41
41,101,60,26.71,25.37
33,104,63,26.71,25.41
32,105,64,26.71,25.37
36,104,64,26.71,25.41
38,107,64,26.71,25.37
38,111,63,26.71,25.41
37,113,67,26.71,25.37
36,114,73,26.71,25.41
32,117,78,26.71,25.37
38,120,78,26.71,25.41
38,122,82,26.71,25.37
37,122,88,26.71,25.41
38,123,89,26.71,25.37
42,127,83,26.71,25.41
39,129,83,26.71,25.37
34,127,87,26.71,25.41
32,126,84,26.71,25.37
38,121,78,26.71,25.41
43,119,79,26.71,25.37
38,120,78,26.71,25.41
34,117,79,26.71,25.37
34,116,75,26.71,25.41
36,114,73,26.71,25.37
35,114,72,26.71,25.41
35,111,69,26.71,25.37
35,108,69,26.71,25.41
32,108,65,26.71,25.37
30,108,65,26.71,25.41
29,106,60,26.71,25.37
30,102,56,26.71,25.41
32,99,57,26.71,25.37
34,96,62,26.71,25.41
23,101,60,26.71,25.37
19,102,62,26.71,25.41
28,98,55,26.71,25.37
27,97,55,26.71,25.41
94,127,84,26.71,25.37
97,127,87,26.71,25.41
98,129,86,26.71,25.37
94,132,83,26.71,25.41
94,132,83,26.71,25.37
91,131,85,26.71,25.41
89,129,84,26.71,25.37
90,125,81,26.71,25.41
89,123,80,26.71,25.37
83,124,80,26.71,25.41
82,120,73,26.71,25.37
79,118,72,26.71,25.41
72,116,75,26.71,25.37
67,115,69,26.71,25.41
67,115,66,26.71,25.37
65,112,66,26.71,25.41
55,113,67,26.71,25.37
51,113,70,26.71,25.41
53,112,71,26.71,25.37
57,110,66,26.71,25.41
58,110,68,26.71,25.37
53,111,69,26.71,25.41
54,108,72,26.71,25.37
52,110,71,26.71,25.41
53,111,65,26.71,25.37
48,113,67,26.71,25.41
51,113,66,26.71,25.37
55,109,67,26.71,25.41
51,111,64,26.71,25.37
49,110,64,26.71,25.41
48,107,63,26.71,25.37
47,109,66,26.71,25.41
47,107,64,26.71,25.37
44,106,66,26.71,25.41
43,105,67,26.71,25.37
43,105,65,26.71,25.41
44,107,66,26.71,25.37
49,105,66,26.71,25.41
50,105,71,26.71,25.37
51,106,71,26.71,25.41
53,108,68,26.71,25.37
55,110,64,26.71,25.41
57,108,64,26.71,25.37
58,106,66,26.71,25.41
59,105,68,26.71,25.37
57,108,67,26.71,25.41
59,108,66,26.71,25.37
57,109,67,26.71,25.41
55,107,69,26.71,25.37
56,105,71,26.71,25.41
57,106,66,26.71,25.37
51,109,62,26.71,25.41
50,109,61,26.71,25.37
52,106,62,26.71,25.41
51,104,65,26.71,25.37
47,105,60,26.71,25.41
