Index,Row,Col,R,G,B
768,7,68,57,105,57
769,7,69,57,105,59
770,7,70,58,105,58
771,7,71,59,108,54
772,7,72,59,110,54
773,7,73,58,110,58
774,7,74,55,112,61
775,7,75,60,111,55
776,7,76,63,109,57
777,7,77,60,112,54
778,7,78,63,111,53
779,7,79,63,109,55
780,7,80,62,110,55
781,7,81,61,111,56
782,7,82,61,110,58
783,7,83,58,111,58
784,7,84,58,110,57
785,7,85,57,110,55
786,7,86,64,108,54
787,7,87,65,107,54
788,7,88,64,111,49
789,7,89,63,110,53
790,7,90,63,108,57
791,7,91,63,109,61
792,7,92,62,108,57
793,7,93,55,112,59
794,7,94,56,113,57
795,7,95,62,111,57
796,7,96,65,111,56
797,7,97,64,111,57
798,7,98,63,111,59
799,7,99,65,108,57
800,8,0,43,92,50
801,8,1,45,92,51
802,8,2,43,96,47
803,8,3,43,96,50
804,8,4,41,97,54
805,8,5,40,96,51
806,8,6,42,96,48
807,8,7,43,93,57
808,8,8,44,95,54
809,8,9,45,95,51
810,8,10,44,98,53
811,8,11,44,99,52
812,8,12,40,99,53
813,8,13,40,101,53
814,8,14,45,101,53
815,8,15,46,101,54
816,8,16,45,100,55
817,8,17,41,103,57
818,8,18,41,101,57
819,8,19,47,100,49
820,8,20,52,101,42
821,8,21,48,103,43
822,8,22,47,103,46
823,8,23,50,103,47
824,8,24,52,103,45
825,8,25,54,99,49
826,8,26,50,102,55
827,8,27,48,105,51
828,8,28,51,104,47
829,8,29,54,104,50
830,8,30,50,107,51
831,8,31,48,110,55
832,8,32,45,111,54
833,8,33,46,111,53
834,8,34,50,111,52
835,8,35,46,113,57
836,8,36,50,113,59
837,8,37,51,111,61
838,8,38,50,112,60
839,8,39,48,115,59
840,8,40,54,114,55
841,8,41,54,113,56
842,8,42,55,113,59
843,8,43,56,114,59
844,8,44,59,112,57
845,8,45,59,113,56
846,8,46,57,113,58
847,8,47,55,114,60
848,8,48,54,113,59
849,8,49,55,112,60
850,8,50,55,114,62
851,8,51,53,114,60
852,8,52,52,115,60
853,8,53,53,113,59
854,8,54,54,111,61
855,8,55,55,111,61
856,8,56,57,112,58
857,8,57,55,112,56
858,8,58,53,114,52
859,8,59,50,113,51
860,8,60,51,111,58
861,8,61,54,107,59
862,8,62,56,106,61
863,8,63,53,106,63
864,8,64,52,105,64
865,8,65,53,106,62
866,8,66,51,107,58
867,8,67,53,108,56
868,8,68,55,106,55
869,8,69,55,106,54
870,8,70,56,106,56
871,8,71,59,107,53
872,8,72,58,109,54
873,8,73,59,108,56
874,8,74,61,108,53
875,8,75,60,110,51
876,8,76,58,112,51
877,8,77,59,112,51
878,8,78,62,109,56
879,8,79,59,109,57
880,8,80,62,110,53
881,8,81,62,109,54
882,8,82,60,111,57
883,8,83,59,109,58
884,8,84,61,107,59
885,8,85,64,106,56
886,8,86,64,106,57
887,8,87,65,106,53
888,8,88,66,110,51
889,8,89,60,111,55
890,8,90,61,107,60
891,8,91,67,107,58
892,8,92,61,109,57
893,8,93,56,109,61
894,8,94,59,110,59
895,8,95,60,111,57
896,8,96,64,111,55
897,8,97,64,111,58
898,8,98,68,107,56
899,8,99,67,109,57
900,9,0,42,95,50
901,9,1,39,93,52
902,9,2,35,95,53
903,9,3,43,94,59
904,9,4,43,91,55
905,9,5,40,96,51
906,9,6,38,98,48
907,9,7,38,96,55
908,9,8,36,99,58
909,9,9,42,98,53
910,9,10,46,98,52
911,9,11,44,99,55
912,9,12,43,99,55
913,9,13,43,102,52
914,9,14,48,101,53
915,9,15,44,101,56
916,9,16,42,102,54
917,9,17,44,101,53
918,9,18,44,102,54
919,9,19,49,102,48
920,9,20,51,100,45
921,9,21,49,101,47
922,9,22,50,100,48
923,9,23,46,102,52
924,9,24,48,102,50
925,9,25,50,101,53
926,9,26,48,103,53
927,9,27,46,106,50
928,9,28,50,105,49
929,9,29,55,103,50
930,9,30,51,107,53
931,9,31,48,110,53
932,9,32,49,108,55
933,9,33,51,109,56
934,9,34,49,111,56
935,9,35,48,112,57
936,9,36,50,111,61
937,9,37,54,109,60
938,9,38,53,110,61
939,9,39,49,113,63
940,9,40,52,113,58
941,9,41,54,113,60
942,9,42,55,113,61
943,9,43,61,112,56
944,9,44,60,114,55
945,9,45,58,113,58
946,9,46,58,112,60
947,9,47,54,114,62
948,9,48,54,115,61
949,9,49,53,114,62
950,9,50,53,114,62
951,9,51,53,115,59
952,9,52,51,115,58
953,9,53,51,115,59
954,9,54,51,113,57
955,9,55,54,113,55
956,9,56,53,113,56
957,9,57,54,112,57
958,9,58,52,113,53
959,9,59,49,113,55
960,9,60,50,110,60
961,9,61,51,108,60
962,9,62,52,106,60
963,9,63,52,106,62
964,9,64,52,106,64
965,9,65,52,105,60
966,9,66,50,107,59
967,9,67,52,107,57
968,9,68,54,106,56
969,9,69,53,107,58
970,9,70,58,105,56
971,9,71,62,106,50
972,9,72,61,106,50
973,9,73,58,107,54
974,9,74,61,106,51
975,9,75,60,108,50
976,9,76,58,110,51
977,9,77,59,110,54
978,9,78,62,106,57
979,9,79,59,109,59
980,9,80,56,108,59
981,9,81,59,107,56
982,9,82,58,110,55
983,9,83,59,109,53
984,9,84,61,107,55
985,9,85,63,107,58
986,9,86,61,108,59
987,9,87,63,107,56
988,9,88,65,108,50
989,9,89,62,110,56
990,9,90,61,107,60
991,9,91,66,106,51
992,9,92,61,109,55
993,9,93,60,108,61
994,9,94,60,107,61
995,9,95,59,109,56
996,9,96,63,111,53
997,9,97,67,110,54
998,9,98,69,107,55
999,9,99,68,107,56
1000,10,0,41,96,54
1001,10,1,42,91,60
1002,10,2,40,93,58
1003,10,3,37,95,56
1004,10,4,43,94,52
1005,10,5,37,96,56
1006,10,6,40,97,56
1007,10,7,41,96,53
1008,10,8,39,97,55
1009,10,9,41,99,56
1010,10,10,44,98,54
1011,10,11,46,100,52
1012,10,12,46,100,53
1013,10,13,47,100,53
1014,10,14,46,101,56
1015,10,15,44,102,57
1016,10,16,45,102,54
1017,10,17,43,101,56
1018,10,18,42,100,53
1019,10,19,47,103,48
1020,10,20,48,101,50
1021,10,21,48,101,48
1022,10,22,50,99,48
1023,10,23,48,100,49
1024,10,24,48,101,51
1025,10,25,47,102,51
1026,10,26,42,108,50
1027,10,27,46,108,48
1028,10,28,50,105,51
1029,10,29,50,105,52
1030,10,30,44,108,54
1031,10,31,45,109,53
1032,10,32,48,108,56
1033,10,33,47,110,56
1034,10,34,48,110,57
1035,10,35,49,109,58
1036,10,36,51,108,59
1037,10,37,54,107,61
1038,10,38,51,110,66
1039,10,39,51,112,65
1040,10,40,50,112,61
1041,10,41,50,113,59
1042,10,42,52,115,57
1043,10,43,56,115,56
1044,10,44,60,116,54
1045,10,45,58,115,58
1046,10,46,55,113,63
1047,10,47,55,112,63
1048,10,48,54,114,63
1049,10,49,53,116,62
1050,10,50,52,116,59
1051,10,51,52,116,56
1052,10,52,52,116,58
1053,10,53,51,114,58
1054,10,54,51,114,59
1055,10,55,53,112,57
1056,10,56,53,111,60
1057,10,57,55,110,56
1058,10,58,50,110,59
1059,10,59,48,110,63
1060,10,60,51,109,62
1061,10,61,53,108,58
1062,10,62,52,108,57
1063,10,63,52,107,58
1064,10,64,54,106,57
1065,10,65,52,107,59
1066,10,66,51,108,59
1067,10,67,51,107,58
1068,10,68,51,107,56
1069,10,69,51,108,56
1070,10,70,53,108,54
1071,10,71,53,108,54
1072,10,72,52,109,54
1073,10,73,56,108,53
1074,10,74,59,105,53
1075,10,75,59,107,53
1076,10,76,59,108,51
1077,10,77,61,107,53
1078,10,78,60,107,58
1079,10,79,62,107,57
1080,10,80,56,111,56
1081,10,81,54,111,55
1082,10,82,57,111,53
1083,10,83,59,108,57
1084,10,84,60,107,59
1085,10,85,60,107,57
1086,10,86,57,109,55
1087,10,87,60,108,55
1088,10,88,62,108,56
1089,10,89,62,108,53
1090,10,90,65,107,53
1091,10,91,62,106,54
1092,10,92,61,108,53
1093,10,93,63,107,56
1094,10,94,64,105,60
1095,10,95,64,106,57
1096,10,96,64,110,47
1097,10,97,67,108,50
1098,10,98,67,108,55
1099,10,99,66,108,54
1100,11,0,44,96,55
1101,11,1,44,97,54
1102,11,2,44,93,54
1103,11,3,39,97,54
1104,11,4,38,98,52
1105,11,5,43,96,56
1106,11,6,44,95,58
1107,11,7,43,97,55
1108,11,8,42,97,58
1109,11,9,40,100,58
1110,11,10,44,100,57
1111,11,11,47,100,52
1112,11,12,46,101,53
1113,11,13,44,101,55
1114,11,14,46,101,56
1115,11,15,44,102,56
1116,11,16,44,103,54
1117,11,17,46,100,53
1118,11,18,46,100,53
1119,11,19,45,99,52
1120,11,20,46,101,49
1121,11,21,48,102,45
1122,11,22,44,104,47
1123,11,23,46,103,48
1124,11,24,48,103,45
1125,11,25,47,105,48
1126,11,26,45,106,51
1127,11,27,49,106,50
1128,11,28,47,106,54
1129,11,29,45,106,56
1130,11,30,45,106,59
1131,11,31,47,106,58
1132,11,32,45,108,57
1133,11,33,40,113,56
1134,11,34,45,111,54
1135,11,35,47,109,54
1136,11,36,47,110,56
1137,11,37,47,110,60
1138,11,38,48,110,64
1139,11,39,51,110,62
1140,11,40,51,112,60
1141,11,41,48,114,59
1142,11,42,51,114,60
1143,11,43,56,114,55
1144,11,44,57,116,55
1145,11,45,58,114,59
1146,11,46,54,115,60
1147,11,47,54,114,61
1148,11,48,52,115,65
1149,11,49,57,115,58
