Index,Row,Col,R,G,B
963,9,63,36,71,32
964,9,64,39,69,34
965,9,65,38,69,32
966,9,66,37,69,33
967,9,67,36,73,32
968,9,68,31,70,36
969,9,69,31,72,34
970,9,70,29,71,30
971,9,71,26,70,38
972,9,72,28,64,34
973,9,73,27,60,32
974,9,74,27,60,27
975,9,75,27,56,28
976,9,76,24,54,19
977,9,77,22,50,25
978,9,78,17,49,35
979,9,79,15,47,26
980,9,80,14,51,25
981,9,81,17,42,26
982,9,82,14,46,22
983,9,83,15,48,20
984,9,84,17,41,20
985,9,85,12,50,23
986,9,86,16,49,21
987,9,87,12,46,26
988,9,88,11,46,30
989,9,89,12,51,28
990,9,90,18,49,28
991,9,91,19,49,29
992,9,92,22,52,36
993,9,93,29,53,32
994,9,94,32,54,36
995,9,95,34,55,41
996,9,96,35,56,42
997,9,97,42,62,37
998,9,98,44,59,40
999,9,99,44,59,46
1000,10,0,60,78,53
1001,10,1,55,79,54
1002,10,2,48,81,56
1003,10,3,50,82,54
1004,10,4,52,84,54
1005,10,5,51,84,48
1006,10,6,52,86,46
1007,10,7,48,88,44
1008,10,8,47,91,43
1009,10,9,47,90,45
1010,10,10,44,90,48
1011,10,11,47,88,50
1012,10,12,48,87,46
1013,10,13,48,87,48
1014,10,14,47,86,53
1015,10,15,50,83,49
1016,10,16,52,83,47
1017,10,17,49,84,47
1018,10,18,49,83,48
1019,10,19,49,82,52
1020,10,20,49,83,46
1021,10,21,50,86,44
1022,10,22,52,84,43
1023,10,23,48,84,51
1024,10,24,50,84,45
1025,10,25,51,85,43
1026,10,26,50,84,48
1027,10,27,53,84,44
1028,10,28,55,84,44
1029,10,29,53,86,49
1030,10,30,50,87,53
1031,10,31,48,88,48
1032,10,32,48,90,44
1033,10,33,48,90,39
1034,10,34,44,89,48
1035,10,35,47,87,44
1036,10,36,45,88,44
1037,10,37,49,88,44
1038,10,38,52,88,44
1039,10,39,52,88,41
1040,10,40,51,86,45
1041,10,41,52,84,46
1042,10,42,53,84,44
1043,10,43,52,81,47
1044,10,44,46,80,46
1045,10,45,42,76,44
1046,10,46,42,74,44
1047,10,47,41,70,43
1048,10,48,35,72,41
1049,10,49,33,72,39
1050,10,50,34,68,36
1051,10,51,35,66,37
1052,10,52,29,69,35
1053,10,53,26,72,34
1054,10,54,23,74,35
1055,10,55,26,70,38
1056,10,56,30,67,33
1057,10,57,31,71,30
1058,10,58,31,69,31
1059,10,59,33,69,29
1060,10,60,35,69,28
1061,10,61,32,70,34
1062,10,62,30,70,39
1063,10,63,34,70,32
1064,10,64,38,68,33
1065,10,65,34,70,36
1066,10,66,35,70,34
1067,10,67,36,71,35
1068,10,68,32,72,36
1069,10,69,32,73,34
1070,10,70,34,71,24
1071,10,71,30,67,33
1072,10,72,33,63,35
1073,10,73,30,62,32
1074,10,74,27,59,30
1075,10,75,22,61,30
1076,10,76,22,58,25
1077,10,77,22,54,21
1078,10,78,18,50,25
1079,10,79,14,50,23
1080,10,80,13,50,20
1081,10,81,13,48,23
1082,10,82,13,51,20
1083,10,83,11,49,21
1084,10,84,14,42,18
1085,10,85,13,44,18
1086,10,86,12,41,24
1087,10,87,10,47,29
1088,10,88,10,42,26
1089,10,89,14,41,29
1090,10,90,17,39,25
1091,10,91,16,46,28
1092,10,92,18,51,30
1093,10,93,22,52,29
1094,10,94,30,54,31
1095,10,95,37,54,35
1096,10,96,36,54,39
1097,10,97,38,58,38
1098,10,98,37,54,41
1099,10,99,40,56,46
