R,G,B,Drought_AmbientTemp,Drought_ObjectTemp,Delta_T,CWSI
48,105,63,26.71,25.41,-1.3000000000000007,1.0
51,106,64,26.71,25.37,-1.34,0.986
47,107,62,26.71,25.41,-1.3000000000000007,1.0
48,105,67,26.71,25.37,-1.34,0.986
51,105,66,26.71,25.41,-1.3000000000000007,1.0
53,103,62,26.71,25.37,-1.34,0.986
48,104,69,26.71,25.41,-1.3000000000000007,1.0
48,104,68,26.71,25.37,-1.34,0.986
47,103,62,26.71,25.41,-1.3000000000000007,1.0
48,104,62,26.71,25.37,-1.34,0.986
44,106,64,26.71,25.41,-1.3000000000000007,1.0
40,106,65,26.71,25.37,-1.34,0.986
44,104,60,26.71,25.41,-1.3000000000000007,1.0
45,104,60,26.71,25.37,-1.34,0.986
45,104,62,26.71,25.41,-1.3000000000000007,1.0
43,104,63,26.71,25.37,-1.34,0.986
46,101,60,26.71,25.41,-1.3000000000000007,1.0
42,102,61,26.71,25.37,-1.34,0.986
38,103,64,26.71,25.41,-1.3000000000000007,1.0
37,104,60,26.71,25.37,-1.34,0.986
36,103,61,26.71,25.41,-1.3000000000000007,1.0
35,103,62,26.71,25.37,-1.34,0.986
35,102,64,26.71,25.41,-1.3000000000000007,1.0
35,102,60,26.71,25.37,-1.34,0.986
35,100,62,26.71,25.41,-1.3000000000000007,1.0
33,103,70,26.71,25.37,-1.34,0.986
36,106,67,26.71,25.41,-1.3000000000000007,1.0
38,107,68,26.71,25.37,-1.34,0.986
39,109,73,26.71,25.41,-1.3000000000000007,1.0
38,112,75,26.71,25.37,-1.34,0.986
34,117,74,26.71,25.41,-1.3000000000000007,1.0
34,119,79,26.71,25.37,-1.34,0.986
33,121,82,26.71,25.41,-1.3000000000000007,1.0
38,122,80,26.71,25.37,-1.34,0.986
40,122,80,26.71,25.41,-1.3000000000000007,1.0
41,122,81,26.71,25.37,-1.34,0.986
34,124,82,26.71,25.41,-1.3000000000000007,1.0
29,125,83,26.71,25.37,-1.34,0.986
27,124,80,26.71,25.41,-1.3000000000000007,1.0
30,120,81,26.71,25.37,-1.34,0.986
38,116,75,26.71,25.41,-1.3000000000000007,1.0
37,113,73,26.71,25.37,-1.34,0.986
38,112,70,26.71,25.41,-1.3000000000000007,1.0
35,111,70,26.71,25.37,-1.34,0.986
32,112,71,26.71,25.41,-1.3000000000000007,1.0
31,109,67,26.71,25.37,-1.34,0.986
31,107,66,26.71,25.41,-1.3000000000000007,1.0
32,105,64,26.71,25.37,-1.34,0.986
29,104,64,26.71,25.41,-1.3000000000000007,1.0
23,104,64,26.71,25.37,-1.34,0.986
24,104,59,26.71,25.41,-1.3000000000000007,1.0
21,104,59,26.71,25.37,-1.34,0.986
25,102,56,26.71,25.41,-1.3000000000000007,1.0
21,103,55,26.71,25.37,-1.34,0.986
15,103,57,26.71,25.41,-1.3000000000000007,1.0
16,100,55,26.71,25.37,-1.34,0.986
18,99,56,26.71,25.41,-1.3000000000000007,1.0
91,130,81,26.71,25.37,-1.34,0.986
95,130,84,26.71,25.41,-1.3000000000000007,1.0
95,132,85,26.71,25.37,-1.34,0.986
96,132,87,26.71,25.41,-1.3000000000000007,1.0
97,133,86,26.71,25.37,-1.34,0.986
98,134,84,26.71,25.41,-1.3000000000000007,1.0
95,133,87,26.71,25.37,-1.34,0.986
96,130,87,26.71,25.41,-1.3000000000000007,1.0
95,127,83,26.71,25.37,-1.34,0.986
93,129,81,26.71,25.41,-1.3000000000000007,1.0
86,126,77,26.71,25.37,-1.34,0.986
84,124,79,26.71,25.41,-1.3000000000000007,1.0
82,121,76,26.71,25.37,-1.34,0.986
80,119,73,26.71,25.41,-1.3000000000000007,1.0
73,116,72,26.71,25.37,-1.34,0.986
67,116,75,26.71,25.41,-1.3000000000000007,1.0
68,113,74,26.71,25.37,-1.34,0.986
68,111,72,26.71,25.41,-1.3000000000000007,1.0
61,112,71,26.71,25.37,-1.34,0.986
60,112,66,26.71,25.41,-1.3000000000000007,1.0
57,113,66,26.71,25.37,-1.34,0.986
57,110,67,26.71,25.41,-1.3000000000000007,1.0
54,110,69,26.71,25.37,-1.34,0.986
51,110,69,26.71,25.41,-1.3000000000000007,1.0
50,109,72,26.71,25.37,-1.34,0.986
51,110,69,26.71,25.41,-1.3000000000000007,1.0
50,109,66,26.71,25.37,-1.34,0.986
50,107,68,26.71,25.41,-1.3000000000000007,1.0
50,107,67,26.71,25.37,-1.34,0.986
49,109,62,26.71,25.41,-1.3000000000000007,1.0
49,108,59,26.71,25.37,-1.34,0.986
47,107,62,26.71,25.41,-1.3000000000000007,1.0
48,106,63,26.71,25.37,-1.34,0.986
45,107,63,26.71,25.41,-1.3000000000000007,1.0
42,107,62,26.71,25.37,-1.34,0.986
40,105,61,26.71,25.41,-1.3000000000000007,1.0
36,107,63,26.71,25.37,-1.34,0.986
39,107,65,26.71,25.41,-1.3000000000000007,1.0
43,106,61,26.71,25.37,-1.34,0.986
43,105,68,26.71,25.41,-1.3000000000000007,1.0
47,106,67,26.71,25.37,-1.34,0.986
51,105,65,26.71,25.41,-1.3000000000000007,1.0
52,107,64,26.71,25.37,-1.34,0.986
51,107,65,26.71,25.41,-1.3000000000000007,1.0
50,107,66,26.71,25.37,-1.34,0.986
49,109,66,26.71,25.41,-1.3000000000000007,1.0
46,105,63,26.71,25.37,-1.34,0.986
51,106,70,26.71,25.41,-1.3000000000000007,1.0
50,108,67,26.71,25.37,-1.34,0.986
50,106,70,26.71,25.41,-1.3000000000000007,1.0
49,105,70,26.71,25.37,-1.34,0.986
48,106,66,26.71,25.41,-1.3000000000000007,1.0
48,105,62,26.71,25.37,-1.34,0.986
47,104,62,26.71,25.41,-1.3000000000000007,1.0
44,107,60,26.71,25.37,-1.34,0.986
44,106,59,26.71,25.41,-1.3000000000000007,1.0
44,104,63,26.71,25.37,-1.34,0.986
45,103,66,26.71,25.41,-1.3000000000000007,1.0
44,102,66,26.71,25.37,-1.34,0.986
45,103,63,26.71,25.41,-1.3000000000000007,1.0
45,102,61,26.71,25.37,-1.34,0.986
43,103,64,26.71,25.41,-1.3000000000000007,1.0
43,102,58,26.71,25.37,-1.34,0.986
40,103,61,26.71,25.41,-1.3000000000000007,1.0
36,102,62,26.71,25.37,-1.34,0.986
33,103,63,26.71,25.41,-1.3000000000000007,1.0
33,103,64,26.71,25.37,-1.34,0.986
34,104,65,26.71,25.41,-1.3000000000000007,1.0
33,105,66,26.71,25.37,-1.34,0.986
34,111,67,26.71,25.41,-1.3000000000000007,1.0
35,112,70,26.71,25.37,-1.34,0.986
38,112,73,26.71,25.41,-1.3000000000000007,1.0
35,114,77,26.71,25.37,-1.34,0.986
33,119,79,26.71,25.41,-1.3000000000000007,1.0
34,120,83,26.71,25.37,-1.34,0.986
33,121,88,26.71,25.41,-1.3000000000000007,1.0
36,123,87,26.71,25.37,-1.34,0.986
40,123,84,26.71,25.41,-1.3000000000000007,1.0
40,123,82,26.71,25.37,-1.34,0.986
38,123,83,26.71,25.41,-1.3000000000000007,1.0
33,125,83,26.71,25.37,-1.34,0.986
33,124,79,26.71,25.41,-1.3000000000000007,1.0
40,119,77,26.71,25.37,-1.34,0.986
42,116,75,26.71,25.41,-1.3000000000000007,1.0
34,116,77,26.71,25.37,-1.34,0.986
35,114,75,26.71,25.41,-1.3000000000000007,1.0
33,113,75,26.71,25.37,-1.34,0.986
31,113,71,26.71,25.41,-1.3000000000000007,1.0
30,113,73,26.71,25.37,-1.34,0.986
32,108,69,26.71,25.41,-1.3000000000000007,1.0
32,107,67,26.71,25.37,-1.34,0.986
33,103,62,26.71,25.41,-1.3000000000000007,1.0
29,104,60,26.71,25.37,-1.34,0.986
27,105,59,26.71,25.41,-1.3000000000000007,1.0
28,102,59,26.71,25.37,-1.34,0.986
30,102,58,26.71,25.41,-1.3000000000000007,1.0
24,101,54,26.71,25.37,-1.34,0.986
19,101,60,26.71,25.41,-1.3000000000000007,1.0
21,100,59,26.71,25.37,-1.34,0.986
21,100,56,26.71,25.41,-1.3000000000000007,1.0
92,129,82,26.71,25.37,-1.34,0.986
97,127,84,26.71,25.41,-1.3000000000000007,1.0
97,131,84,26.71,25.37,-1.34,0.986
94,133,85,26.71,25.41,-1.3000000000000007,1.0
96,132,85,26.71,25.37,-1.34,0.986
96,132,86,26.71,25.41,-1.3000000000000007,1.0
92,132,89,26.71,25.37,-1.34,0.986
92,129,85,26.71,25.41,-1.3000000000000007,1.0
91,127,80,26.71,25.37,-1.34,0.986
89,128,79,26.71,25.41,-1.3000000000000007,1.0
85,125,76,26.71,25.37,-1.34,0.986
80,120,74,26.71,25.41,-1.3000000000000007,1.0
78,118,77,26.71,25.37,-1.34,0.986
73,116,70,26.71,25.41,-1.3000000000000007,1.0
68,115,64,26.71,25.37,-1.34,0.986
66,113,70,26.71,25.41,-1.3000000000000007,1.0
62,112,74,26.71,25.37,-1.34,0.986
55,113,73,26.71,25.41,-1.3000000000000007,1.0
56,111,71,26.71,25.37,-1.34,0.986
58,111,73,26.71,25.41,-1.3000000000000007,1.0
59,109,69,26.71,25.37,-1.34,0.986
58,110,69,26.71,25.41,-1.3000000000000007,1.0
56,107,71,26.71,25.37,-1.34,0.986
51,108,71,26.71,25.41,-1.3000000000000007,1.0
49,112,67,26.71,25.37,-1.34,0.986
50,112,65,26.71,25.41,-1.3000000000000007,1.0
52,110,64,26.71,25.37,-1.34,0.986
52,109,69,26.71,25.41,-1.3000000000000007,1.0
50,109,68,26.71,25.37,-1.34,0.986
48,110,64,26.71,25.41,-1.3000000000000007,1.0
47,109,68,26.71,25.37,-1.34,0.986
45,108,68,26.71,25.41,-1.3000000000000007,1.0
45,108,64,26.71,25.37,-1.34,0.986
44,107,63,26.71,25.41,-1.3000000000000007,1.0
45,104,64,26.71,25.37,-1.34,0.986
42,105,67,26.71,25.41,-1.3000000000000007,1.0
39,107,64,26.71,25.37,-1.34,0.986
43,107,67,26.71,25.41,-1.3000000000000007,1.0
47,106,68,26.71,25.37,-1.34,0.986
47,106,67,26.71,25.41,-1.3000000000000007,1.0
50,107,68,26.71,25.37,-1.34,0.986
53,108,64,26.71,25.41,-1.3000000000000007,1.0
55,107,66,26.71,25.37,-1.34,0.986
54,107,68,26.71,25.41,-1.3000000000000007,1.0
53,107,66,26.71,25.37,-1.34,0.986
50,109,72,26.71,25.41,-1.3000000000000007,1.0
54,105,66,26.71,25.37,-1.34,0.986
53,108,72,26.71,25.41,-1.3000000000000007,1.0
51,108,71,26.71,25.37,-1.34,0.986
53,107,69,26.71,25.41,-1.3000000000000007,1.0
54,106,68,26.71,25.37,-1.34,0.986
50,106,67,26.71,25.41,-1.3000000000000007,1.0
45,108,61,26.71,25.37,-1.34,0.986
48,107,58,26.71,25.41,-1.3000000000000007,1.0
47,106,61,26.71,25.37,-1.34,0.986
44,107,59,26.71,25.41,-1.3000000000000007,1.0
44,105,63,26.71,25.37,-1.34,0.986
45,103,67,26.71,25.41,-1.3000000000000007,1.0
44,104,67,26.71,25.37,-1.34,0.986
43,104,62,26.71,25.41,-1.3000000000000007,1.0
42,105,61,26.71,25.37,-1.34,0.986
45,102,62,26.71,25.41,-1.3000000000000007,1.0
46,102,58,26.71,25.37,-1.34,0.986
44,103,58,26.71,25.41,-1.3000000000000007,1.0
41,101,60,26.71,25.37,-1.34,0.986
33,104,63,26.71,25.41,-1.3000000000000007,1.0
32,105,64,26.71,25.37,-1.34,0.986
36,104,64,26.71,25.41,-1.3000000000000007,1.0
38,107,64,26.71,25.37,-1.34,0.986
38,111,63,26.71,25.41,-1.3000000000000007,1.0
37,113,67,26.71,25.37,-1.34,0.986
36,114,73,26.71,25.41,-1.3000000000000007,1.0
32,117,78,26.71,25.37,-1.34,0.986
38,120,78,26.71,25.41,-1.3000000000000007,1.0
38,122,82,26.71,25.37,-1.34,0.986
37,122,88,26.71,25.41,-1.3000000000000007,1.0
38,123,89,26.71,25.37,-1.34,0.986
42,127,83,26.71,25.41,-1.3000000000000007,1.0
39,129,83,26.71,25.37,-1.34,0.986
34,127,87,26.71,25.41,-1.3000000000000007,1.0
32,126,84,26.71,25.37,-1.34,0.986
38,121,78,26.71,25.41,-1.3000000000000007,1.0
43,119,79,26.71,25.37,-1.34,0.986
38,120,78,26.71,25.41,-1.3000000000000007,1.0
34,117,79,26.71,25.37,-1.34,0.986
34,116,75,26.71,25.41,-1.3000000000000007,1.0
36,114,73,26.71,25.37,-1.34,0.986
