R,G,B,AmbientTemp,ObjectTemp,Delta_T,CWSI
56,105,50,27.45,29.43,-0.9800000000000004,1.0
80,130,77,27.83,26.27,2.2449999999999988,1.0
84,131,75,27.83,26.11,2.185999999999999,1.0
87,128,80,27.83,26.27,2.2449999999999988,1.0
93,126,87,27.83,26.11,2.185999999999999,1.0
93,127,90,27.83,26.27,2.2449999999999988,1.0
86,133,90,27.83,26.11,2.185999999999999,1.0
85,134,89,27.83,26.27,2.2449999999999988,1.0
88,132,90,27.83,26.11,2.185999999999999,1.0
89,131,96,27.83,26.27,2.2449999999999988,1.0
88,131,93,27.83,26.11,2.185999999999999,1.0
87,132,84,27.83,26.27,2.2449999999999988,1.0
82,133,81,27.83,26.11,2.185999999999999,1.0
79,130,81,27.83,26.27,2.2449999999999988,1.0
78,125,86,27.83,26.11,2.185999999999999,1.0
76,120,89,27.83,26.27,2.2449999999999988,1.0
75,120,83,27.83,26.11,2.185999999999999,1.0
77,119,68,27.83,26.27,2.2449999999999988,1.0
77,118,62,27.83,26.11,2.185999999999999,1.0
70,118,70,27.83,26.27,2.2449999999999988,1.0
60,121,76,27.83,26.11,2.185999999999999,1.0
58,119,75,27.83,26.27,2.2449999999999988,1.0
57,115,75,27.83,26.11,2.185999999999999,1.0
58,113,71,27.83,26.27,2.2449999999999988,1.0
56,113,70,27.83,26.11,2.185999999999999,1.0
56,115,63,27.83,26.27,2.2449999999999988,1.0
55,111,63,27.83,26.11,2.185999999999999,1.0
50,112,61,27.83,26.27,2.2449999999999988,1.0
50,109,63,27.83,26.11,2.185999999999999,1.0
52,106,62,27.83,26.27,2.2449999999999988,1.0
52,103,57,27.83,26.11,2.185999999999999,1.0
46,107,60,27.83,26.27,2.2449999999999988,1.0
41,107,63,27.83,26.11,2.185999999999999,1.0
42,105,65,27.83,26.27,2.2449999999999988,1.0
41,108,54,27.83,26.11,2.185999999999999,1.0
39,101,62,27.83,26.27,2.2449999999999988,1.0
38,98,66,27.83,26.11,2.185999999999999,1.0
40,99,66,27.83,26.27,2.2449999999999988,1.0
44,100,61,27.83,26.11,2.185999999999999,1.0
45,100,59,27.83,26.27,2.2449999999999988,1.0
42,99,62,27.83,26.11,2.185999999999999,1.0
40,102,57,27.83,26.27,2.2449999999999988,1.0
41,102,57,27.83,26.11,2.185999999999999,1.0
42,102,64,27.83,26.27,2.2449999999999988,1.0
45,103,54,27.83,26.11,2.185999999999999,1.0
47,103,56,27.83,26.27,2.2449999999999988,1.0
47,103,56,27.83,26.11,2.185999999999999,1.0
39,104,67,27.83,26.27,2.2449999999999988,1.0
41,101,59,27.83,26.11,2.185999999999999,1.0
42,101,66,27.83,26.27,2.2449999999999988,1.0
41,101,65,27.83,26.11,2.185999999999999,1.0
37,104,65,27.83,26.27,2.2449999999999988,1.0
40,100,67,27.83,26.11,2.185999999999999,1.0
41,102,61,27.83,26.27,2.2449999999999988,1.0
40,102,63,27.83,26.11,2.185999999999999,1.0
43,100,63,27.83,26.27,2.2449999999999988,1.0
44,100,61,27.83,26.11,2.185999999999999,1.0
42,102,59,27.83,26.27,2.2449999999999988,1.0
44,103,57,27.83,26.11,2.185999999999999,1.0
41,101,61,27.83,26.27,2.2449999999999988,1.0
38,101,64,27.83,26.11,2.185999999999999,1.0
37,100,60,27.83,26.27,2.2449999999999988,1.0
40,102,59,27.83,26.11,2.185999999999999,1.0
39,102,56,27.83,26.27,2.2449999999999988,1.0
38,101,57,27.83,26.11,2.185999999999999,1.0
37,101,62,27.83,26.27,2.2449999999999988,1.0
36,100,64,27.83,26.11,2.185999999999999,1.0
36,99,61,27.83,26.27,2.2449999999999988,1.0
35,101,54,27.83,26.11,2.185999999999999,1.0
32,106,54,27.83,26.27,2.2449999999999988,1.0
31,102,67,27.83,26.11,2.185999999999999,1.0
38,102,72,27.83,26.27,2.2449999999999988,1.0
40,112,70,27.83,26.11,2.185999999999999,1.0
36,114,69,27.83,26.27,2.2449999999999988,1.0
36,117,71,27.83,26.11,2.185999999999999,1.0
36,119,70,27.83,26.27,2.2449999999999988,1.0
37,121,71,27.83,26.11,2.185999999999999,1.0
37,122,72,27.83,26.27,2.2449999999999988,1.0
31,123,73,27.83,26.11,2.185999999999999,1.0
31,121,83,27.83,26.27,2.2449999999999988,1.0
27,122,84,27.83,26.11,2.185999999999999,1.0
29,122,82,27.83,26.27,2.2449999999999988,1.0
31,119,82,27.83,26.11,2.185999999999999,1.0
32,117,79,27.83,26.27,2.2449999999999988,1.0
33,116,74,27.83,26.11,2.185999999999999,1.0
36,113,75,27.83,26.27,2.2449999999999988,1.0
36,111,73,27.83,26.11,2.185999999999999,1.0
34,110,64,27.83,26.27,2.2449999999999988,1.0
31,109,67,27.83,26.11,2.185999999999999,1.0
28,109,67,27.83,26.27,2.2449999999999988,1.0
25,107,64,27.83,26.11,2.185999999999999,1.0
26,105,62,27.83,26.27,2.2449999999999988,1.0
27,100,58,27.83,26.11,2.185999999999999,1.0
29,100,60,27.83,26.27,2.2449999999999988,1.0
23,103,57,27.83,26.11,2.185999999999999,1.0
21,100,58,27.83,26.27,2.2449999999999988,1.0
22,99,59,27.83,26.11,2.185999999999999,1.0
19,100,55,27.83,26.27,2.2449999999999988,1.0
18,101,60,27.83,26.11,2.185999999999999,1.0
18,101,62,27.83,26.27,2.2449999999999988,1.0
18,95,55,27.83,26.11,2.185999999999999,1.0
