R,G,B,Ambient_Temp,Object_Temp,Delta_T,CWSI
62,127,76,28.09,25.99,3.1000000000000014,1.0
65,123,80,28.07,25.81,3.2600000000000016,1.0
66,123,82,28.03,26.03,3.0,1.0
65,122,78,27.99,25.99,3.0,1.0
63,121,75,27.93,25.87,3.0599999999999987,1.0
63,121,68,27.91,25.79,3.120000000000001,1.0
68,122,62,28.09,25.99,3.1000000000000014,1.0
71,121,73,28.07,25.81,3.2600000000000016,1.0
74,117,80,28.03,26.03,3.0,1.0
76,117,84,27.99,25.99,3.0,1.0
74,120,81,27.93,25.87,3.0599999999999987,1.0
74,120,78,27.91,25.79,3.120000000000001,1.0
73,119,77,28.09,25.99,3.1000000000000014,1.0
70,117,77,28.07,25.81,3.2600000000000016,1.0
72,111,77,28.03,26.03,3.0,1.0
69,115,75,27.99,25.99,3.0,1.0
68,116,71,27.93,25.87,3.0599999999999987,1.0
67,113,70,27.91,25.79,3.120000000000001,1.0
67,109,72,28.09,25.99,3.1000000000000014,1.0
64,109,69,28.07,25.81,3.2600000000000016,1.0
58,111,62,28.03,26.03,3.0,1.0
54,110,67,27.99,25.99,3.0,1.0
55,106,62,27.93,25.87,3.0599999999999987,1.0
55,102,63,27.91,25.79,3.120000000000001,1.0
52,99,62,28.09,25.99,3.1000000000000014,1.0
56,95,58,28.07,25.81,3.2600000000000016,1.0
52,96,58,28.03,26.03,3.0,1.0
43,100,52,27.99,25.99,3.0,1.0
39,104,48,27.93,25.87,3.0599999999999987,1.0
33,101,56,27.91,25.79,3.120000000000001,1.0
33,94,60,28.09,25.99,3.1000000000000014,1.0
35,92,60,28.07,25.81,3.2600000000000016,1.0
35,95,56,28.03,26.03,3.0,1.0
37,97,53,27.99,25.99,3.0,1.0
33,101,54,27.93,25.87,3.0599999999999987,1.0
36,101,57,27.91,25.79,3.120000000000001,1.0
39,103,61,28.09,25.99,3.1000000000000014,1.0
44,105,65,28.07,25.81,3.2600000000000016,1.0
49,105,68,28.03,26.03,3.0,1.0
53,106,68,27.99,25.99,3.0,1.0
55,108,67,27.93,25.87,3.0599999999999987,1.0
59,107,69,27.91,25.79,3.120000000000001,1.0
62,107,70,28.09,25.99,3.1000000000000014,1.0
61,110,64,28.07,25.81,3.2600000000000016,1.0
57,110,67,28.03,26.03,3.0,1.0
59,109,71,27.99,25.99,3.0,1.0
55,107,72,27.93,25.87,3.0599999999999987,1.0
53,106,71,27.91,25.79,3.120000000000001,1.0
55,106,65,28.09,25.99,3.1000000000000014,1.0
55,104,62,28.07,25.81,3.2600000000000016,1.0
51,103,59,28.03,26.03,3.0,1.0
49,103,60,27.99,25.99,3.0,1.0
46,101,59,27.93,25.87,3.0599999999999987,1.0
43,99,59,27.91,25.79,3.120000000000001,1.0
41,97,57,28.09,25.99,3.1000000000000014,1.0
34,98,57,28.07,25.81,3.2600000000000016,1.0
32,95,54,28.03,26.03,3.0,1.0
31,92,53,27.99,25.99,3.0,1.0
30,89,47,27.93,25.87,3.0599999999999987,1.0
23,88,48,27.91,25.79,3.120000000000001,1.0
26,85,49,28.09,25.99,3.1000000000000014,1.0
20,88,46,28.07,25.81,3.2600000000000016,1.0
